,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,date_with_day,desc
44,2018,Confirmed,Abdullah Mire Hashi,,Somalia,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Darul Sunnah,"Producer,Columnist/Commentator","Culture,Crime,Business",Radio,Somalia,Elasha Bihaya,,,Elasha Bihaya,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"October 27, 2018","Radio journalist Abdullahi Mire Hashi was gunned down by at least two men on October 27, 2018, in the town of Elisha Bihaya, about 17 km from the Somali capital Mogadishu, according to media reports and two local press rights groups. The journalist was a producer and show host on the privately owned religious station Darul Sunnah, according to Abdalle Ahmed Mumin, a journalist who was following the case and with whom CPJ spoke. Ismail Sheikh Khalifa, chair of the advocacy group Human Rights Journalists (HRJ), and Mohamed Ibrahim Moalimuu, secretary-general of the government-recognized National Union of Somali Journalists (NUSOJ), told CPJ that he was shot after attending afternoon prayers at a mosque near his radio station. A report by HRJ said Abdullahi was “shot twice on the head by unidentified men with pistols,” and that he was shot “as he came out of a mosque close to the radio station where he said his afternoon prayers.”The gunmen fled the scene immediately after the attack, Ismail and Mohamed said. Abdullahi sustained injuries to his head and his chest and died on the way to the hospital, according to Abdalle. Abdullahi produced and hosted the daily show “This Morning on Darul Sunnah,” during which listeners could call in to provide updates and describe the conditions of their part of town, according to Mohamed and Abdalle. Callers would discuss anything from whether schools were open and public transport was functioning to the state of security and business, Abdalle told CPJ."
45,2016,Confirmed,Abdullah Mohammad Ghannam,,Syria,,,Male,,,Journalist,,Crossfire,Killed,Staff,Shahba Press Agency,"Photographer,Internet Reporter","Human Rights,War",Internet,Syria,"Kafr Hamra, Aleppo",,,"Kafr Hamra, Aleppo",,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"July 14, 2016","Abdullah Mohammad Ghannam, a correspondent for Shahba Press Agency, was killed by an airstrike on a hospital in Kafr Hamra, on Aleppo’s northern outskirts, on July 14, 2016, while filming the aftermath of a previous airstrike, Mamoun al-Khatib, the director of Shahba Press Agency, told the Committee to Protect Journalists."
46,2015,Confirmed,Abdullah Qabil,,Yemen,,,Male,,,Journalist,,Crossfire,Killed,Staff,"Yemen Youth TV, Belqees TV",Broadcast Reporter,"Politics,War",Television,Yemen,Dhamar,,,Dhamar,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"May 21, 2015","The bodies of Qabil, a reporter for the satellite TV news networks Belqees TV and Yemen Youth TV, and Youssef al-Ayzari, a reporter for the satellite TV news network Suhail TV, were found in the rubble of a building hit by an airstrike. The journalists were found days after they had been abducted."
47,2003,Confirmed,Abdullahi Madkeer,,Somalia,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,DMC Radio,Broadcast Reporter,Politics,Radio,Somalia,Baidoa,,,Baidoa,,Local,Paramilitary Group,Confirmed,,,,,,,,,,,,,,,,"January 24, 2003","Madkeer, a journalist with DMC Radio, was accidentally shot in the stomach by members of the Rahanweyn Resistance Army (RRA) militia while covering the reopening of Baidoa Airport in the southwest of the country, according to the Somali Journalists’ Network (SOJON) and the Action Alert Group, a press freedom organization. He was taken to a hospital and died that day after doctors refused to operate on him because he was HIV positive."
48,2017,Confirmed,Abdullahi Osman Moalim,,Somalia,,,Male,,,Journalist,Killed,Murder,Killed,Staff,"Jubbaland TV, Codka Hiraan",Broadcast reporter,Politics,"Radio,Television",Somalia,Beledweyne,,Hiraan,Beledweyne,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"September 13, 2017","Abdullahi Osman Moalim died on September 13 from injuries sustained during a September 10 suicide bomb attack in a café in Beldeweyne, a city in southcentral Somalia, his colleagues at Jubbaland TV and Somalia’s minister of information, Abdirahman Omar Osman, told CPJ."
49,2009,Confirmed,Abdulmalik Akhmedilov,,Russia,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Akhmedilov.Hakikat.jpg,Hakikat,Journalist,,Murder,Killed,Staff,Hakikat and Sogratl,Editor,Politics,Print,Russia,Makhachkala ,,,Makhachkala ,,Local,,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,,"August 11, 2009","At least one assailant shot Akhmedilov, 32, in his car on the outskirts of the Dagestani capital, Makhachkala, at around 1 p.m. The editor died at the scene, the independent Caucasus news Web site Kavkazsky Uzel reported."
50,2007,Confirmed,Abdulrazak Hashim Ayal al-Khakani,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Jumhuriyat al-Iraq,"Broadcast Reporter,Editor",Politics,Radio,Iraq,Baghdad,,,Baghdad,,Local,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,,"February 5, 2007","Iraqi police discovered the body of al-Khakani, 45, an editor and news presenter at Jumhuriyat al-Iraq radio, and that of his cousin, in Baghdad’s western neighborhood of Al-Jihad. The bodies had several gunshot wounds, al-Khakani’s brother, Majid, told CPJ."
51,2007,Confirmed,Abshir Ali Gabre,,Somalia,,,Male,,,Journalist,,Crossfire,Killed,Staff,Radio Jowhar,Editor,Politics,Radio,Somalia,Jowhar,,,Jowhar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"May 16, 2007","News editor Abshir Ali Gabre and reporter Ahmed Hassan Mahad of Radio Jowhar, a privatestation in Jowhar, 55 miles (90 kilometers) north of the capital,Mogadishu, were gunned down when a provincial governor’s motorcade wasambushed by gunmen from a rival sub-clan."
52,2012,Confirmed,Abukar Hassan Mohamoud,,Somalia,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Abukar.Hassan.NUSOJ.cap.jpg,(NUSOJ),Journalist,,Murder,Killed,Staff,Somaliweyn Radio,Editor,"Human Rights,Politics",Radio,Somalia,Mogadishu,,,Mogadishu,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"February 28, 2012","Unidentified gunmen shot veteran journalist Abukar, nicknamed “Kadaf,” five timesin the head and chest at around 6 p.m. in the Wadajir District of the capital,Mogadishu, local journalists told CPJ. Abukar,49, died of his injuries at Medina Hospital soon after the attack. Abukar hadbeen trying to re-launch the private station Somaliweyn Radio after it wasraided and looted by Al-Shabaab insurgents in May 2010, local journalists toldCPJ. Although the killers were not immediately identified, family members andcolleagues believe Abukar wasmurdered for his efforts to re-establish the broadcaster, which had continuedoperating as a website after the raid."
53,2018,Confirmed,Achyutananda Sahu,,India,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Sahu_Doordarshan1.jpg_1fd9419f-61b7-4e4e-ac74-65442e9fea46.jpeg,Doordarshan,Journalist,Killed,Crossfire,Killed,Staff,Doordarshan,Camera Operator,Politics,Television,India,Chhattisgarh,,Chhattisgarh,,,Local,Political Group,Confirmed,No,,,,,,,,,,,,,,,"October 30, 2018","Video journalist Achyutananda Sahu, who worked for the government-run broadcaster Doordarshan, was killed in Chhattisgarh on October 30, 2018, during a firefight between police and a Maoist militant group, according to news reports."
54,2015,Confirmed,Adam Juma,,South Sudan,,,Male,,,Journalist,,Murder,Killed,Staff,Raja FM,Broadcast Reporter,"Politics,War",Radio,South Sudan,Western Bahr al Ghazal state,,Western Bahr al Ghazal state,Western Bahr al Ghazal state,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"January 25, 2015","Juma was one of five journalists killed when unidentified gunmen ambushed an official convoy in South Sudan’s Western Bahr al Ghazal state, according to news reports. Juma was a reporter and presenter for the local radio station Raja FM."
55,2015,Confirmed,Adam Ward,,USA,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,WDBJ7,Camera Operator,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports",Television,USA,"Smith Mountain Lake, Virginia",,,"Smith Mountain Lake, Virginia",,Local,Local Residents,Confirmed,,,,,,,,,,,,,,,,"August 26, 2015","Ward, a 27-year-old cameraman for local TV station WDBJ7, was shot dead alongside reporter Alison Parker at around 6:45 am during a live broadcast at the Bridgewater Plaza shopping mall in Smith Mountain Lake, Virginia, according to press reports. The gunman, identified by police as Vester Lee Flanagan II, but also known as Bryce Williams, shot Parker and Ward while recording on his own video camera, according to The New York Times."
56,2020,Confirmed,Adeeb al-Janani,,Yemen,,,Male,,,Journalist,Killed,Dangerous Assignment,Killed,Staff,Belqees TV,"Broadcast Reporter,Internet Reporter","Human Rights,Politics,War","Internet,Television",Yemen,Aden,,,Aden,,Local,Political Group,Confirmed,,No,,,,,,,,,,,,,,"December 30, 2020","Adeeb al-Janani, a reporter for privately owned Yemeni broadcaster Belqees TV, was killed December 30, 2020, at Aden International Airport while covering the arrival of the newly formed Yemeni government’s cabinet from Riyadh, Saudi Arabia, according to his employer and the local independent newspaper Al-Masdar."
57,2006,Confirmed,Adel Naji al-Mansouri ,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Al-Alam,Broadcast Reporter,War,Television,Iraq,Baghdad,,,Baghdad,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"July 29, 2006","Unidentified gunmen intercepted al-Mansouri, 34, a correspondent for the Iranian state-run Arabic language satellite channel Al-Alam, as he was driving in the Al-Amariyeh neighborhood of western Baghdad, colleague Abdullah Hamdullah Bardan Ruba’i told CPJ. Al-Mansouri was driving to the station’s offices when he was attacked, Ruba’i said."
58,2015,Confirmed,Adel Sayegh ,,Iraq,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Adel-Sayegh200.jpg,Photo courtesy of the family,Journalist,,Murder,Killed,Staff,Salaheddin TV,"Camera Operator,Photographer","Politics,War",Television,Iraq,Mosul,,,Mosul,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,August 2015,"Adel Sayegh, an Iraqi photographer and video journalist from Mosul, was kidnapped by men from the Islamic State group in August 2015. He was executed the same month, two local media groups, the Society for the Defense of Press Freedom in Iraq and the Nineveh Reporters Network, told the Committee to Protect Journalists."
59,2001,Confirmed,Adel Zerrouk,,Algeria,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Al-Rai,Print Reporter,Human Rights,Print,Algeria,Algiers,,,Algiers,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"June 14, 2001","Algerian journalists Adel Zerrouk and Fadila Nejma were killed while covering massanti-government protests organized by Berber community leaders in thecapital, Algiers."
60,1995,Confirmed,Adil Bunyatov,,Azerbaijan,,,Male,,,Journalist,,Crossfire,Killed,Staff,Reuters TV and Turan News Agency,Camera Operator,War,Television,Azerbaijan,Baku,,,Baku,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"March 17, 1995","Bunyatov, a cameraman for Reuters TV and the Turan News Agency, was killed while filming an attack by Azerbaijani government troops on the headquarters of a rebel police unit on the outskirts of the capital, Baku. A report by the Turan News Agency said government censorship introduced in the wake of the rebellion prevented opposition newspapers and the independent media from revealing any details about Bunyatov’s death."
61,2004,Confirmed,Adlan Khasanov,,Russia,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/adlan_khasanov_russia_2004.jpg,,Journalist,,Dangerous Assignment,Killed,Staff,Reuters,Camera Operator,"Politics,War",Television,Russia,Grozny,,,Grozny,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"May 9, 2004","Khasanov, a cameraman working for the British news agency Reuters,was killed by a bomb in Russia’s southern republic of Chechnya, accordingto local and international press reports. The powerful bomb exploded at about 10:35 a.m. in the Dynamo Stadiumin the Chechen capital, Grozny, where Khasanov was covering the annualVictory Day parade, which celebrates the Soviet Union’s 1945 victoryover Nazi Germany."
62,2005,Confirmed,Adnan al-Bayati,,Iraq,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/adnan_al_bayati_iraq_2005.jpg,,Journalist,,Murder,Killed,Freelance,TG3,Producer,War,Television,Iraq,Baghdad,,,Baghdad,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"July 23, 2005","Al-Bayati, a freelance producer and translator who worked for the television station TG3, was murdered by three gunmen at his home in al-Adhamiya neighborhood. The men knocked on al-Bayati’s door and opened fire when he answered, killing him in front of his wife and baby daughter, said TG3 journalist Giovanna Botteri, who worked closely with al-Bayati."
63,2007,Confirmed,Adnan al-Safi,,Iraq,,,Male,,,Journalist,,Murder,Killed,Staff,Al-Anwar,Broadcast Reporter,"Culture,Politics",Television,Iraq,Baghdad,,,Baghdad,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"July 27, 2007","An unidentified gunman shot al-Safi, a correspondent for the Kuwait-based Al-Anwar satellite channel, outside the channel’s offices in Baghdad’s north-central neighborhood of Al-Etifiyah, according to Bassem al-Safi, a member of the reporter’s extended family and a fellow journalist."
64,2006,Confirmed,Adnan Khairallah,,Iraq,,,Male,,,Journalist,,Murder,Killed,Freelance,Wasan Productions and Al-Arabiya,Technician,War,Television,Iraq,Samarra,,,Samarra,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"February 23, 2006","The bodies of correspondent Atwar Bahjat, cameraman Khaled Mahmoud al-Falahi, and engineer Adnan Khairallah were found near Samarra, a day after the station lostcontact with the crew, editors at Al-Arabiya told CPJ. Bahjat, 30, wasa well-known on-air figure. Al-Arabiya said she had recently joined thechannel after working as a correspondent for the Arabic satellitechannel Al-Jazeera."
65,1992,Confirmed,Adolfo Isuiza Urquia,,Peru,,,Male,,,Journalist,,Murder,Killed,Staff,Radio Tropical,Broadcast Reporter,Crime,Radio,Peru,Juanjui,,,Juanjui,,Local,Criminal Group,Confirmed,,,Complete Impunity,Yes,Yes,Yes,,,,,,,,,,"August 23, 1992","Isuiza was tortured and killed in Juanjui, in the Peruvian jungle, by suspected drug traffickers. A correspondent for the Tarapoto-based Radio Tropical, Isuiza had received threats and had expressed fear about reporting from the area, which is heavily influenced by drug traffickers."
66,1994,Confirmed,Adolphe Missamba Ndengi Kavula,,Democratic Republic of the Congo,,,Male,,,Journalist,,Murder,Killed,Staff,Nsemo,Editor,Politics,Print,Democratic Republic of the Congo,Kasangulu,,,Kasangulu,,Local,Government Officials,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,,"November 12, 1994","Kavula, editor-in-chief and owner of the opposition newspaper Nsemo and a prominent member of the Union for Democracy and Social Progress, was kidnapped on October 28 by a group of men thought to be from the Presidential Militia. Ten days later, he was found barely alive in a field on his farm outside Kasangulu, 20 miles (30 kilometers) from Kinshasa. He appeared to have been badly tortured. He died in a Kinshasa clinic on November 12. An autopsy was not performed, but medical tests indicated that he may have been injected with a toxic substance. Zairian authorities claimed that Kavula’s death was a suicide."
